file	length_offset	text_offset	stored_length	byte_length	source	translation	scene	ns_filtered_index	pc_file	pc_string_index	alignment_status	alignment_reason
Config/button.datu8	85	89	31	30	上へスクロールします	向上滚动	UI-core-v1				manual-reviewed-ui	exact-source-map
Config/button.datu8	144	148	31	30	下へスクロールします	向下滚动	UI-core-v1				manual-reviewed-ui	exact-source-map
Config/button.datu8	232	236	37	36	パネルを固定・解除します	固定/解除面板	UI-core-v1				manual-reviewed-ui	exact-source-map
Config/button.datu8	297	301	31	30	ウィンドウを閉じます	关闭窗口	UI-core-v1				manual-reviewed-ui	exact-source-map
Config/button.datu8	356	360	40	39	ＴＩＰＳメニューを開きます	打开TIPS菜单	UI-core-v1				manual-reviewed-ui	exact-source-map
Config/button.datu8	424	428	25	24	音声を再生します	播放语音	UI-core-v1				manual-reviewed-ui	exact-source-map
Config/button.datu8	477	481	40	39	前の選択肢にジャンプします	跳至上一个选项	UI-core-v1				manual-reviewed-ui	exact-source-map
Config/button.datu8	545	549	34	33	バックログを表示します	显示历史记录	UI-core-v1				manual-reviewed-ui	exact-source-map
Config/button.datu8	607	611	37	36	オートモードへ移行します	进入自动模式	UI-core-v1				manual-reviewed-ui	exact-source-map
Config/button.datu8	672	676	40	39	スキップモードへ移行します	进入跳过模式	UI-core-v1				manual-reviewed-ui	exact-source-map
Config/button.datu8	740	744	40	39	次の選択肢にジャンプします	跳至下一个选项	UI-core-v1				manual-reviewed-ui	exact-source-map
Config/button.datu8	808	812	37	36	セーブメニューを開きます	打开保存菜单	UI-core-v1				manual-reviewed-ui	exact-source-map
Config/button.datu8	873	877	37	36	ロードメニューを開きます	打开读取菜单	UI-core-v1				manual-reviewed-ui	exact-source-map
Config/button.datu8	938	942	49	48	ツイッターアップロードを開きます	打开Twitter上传界面	UI-settings-complete-v1				manual-reviewed-ui	exact-source-map
Config/button.datu8	1015	1019	40	39	システムメニューを開きます	打开系统菜单	UI-core-v1				manual-reviewed-ui	exact-source-map
Config/button.datu8	1083	1087	34	33	設定メニューを開きます	打开设置菜单	UI-core-v1				manual-reviewed-ui	exact-source-map
Config/button.datu8	1145	1149	34	33	タイトル画面に戻ります	返回标题画面	UI-core-v1				manual-reviewed-ui	exact-source-map
Config/button.datu8	1236	1240	31	30	上へスクロールします	向上滚动	UI-core-v1				manual-reviewed-ui	exact-source-map
Config/button.datu8	1875	1879	31	30	下へスクロールします	向下滚动	UI-core-v1				manual-reviewed-ui	exact-source-map
Config/button.datu8	1934	1938	37	36	パネルを固定・解除します	固定/解除面板	UI-core-v1				manual-reviewed-ui	exact-source-map
Config/button.datu8	2637	2641	37	36	セーブメニューを開きます	打开保存菜单	UI-core-v1				manual-reviewed-ui	exact-source-map
