scene	status	reason	similarity	pair_cost	ns_filtered_index	pc_filtered_index	ns_file	ns_length_offset	ns_text_offset	ns_source	ns_kind	pc_file	pc_string_index	pc_jp_source	pc_translation	pc_kind
0511	unmatched-ns	no-pc-pair			0		Script/scr0511.binu8	20781	20785	校門	N					
0511	unmatched-ns	no-pc-pair			1		Script/scr0511.binu8	20792	20796	礼讃祈堂	N					
0511	unmatched-ns	no-pc-pair			2		Script/scr0511.binu8	20809	20813	マコーの私室	N					
0511	unmatched-ns	no-pc-pair			3		Script/scr0511.binu8	20832	20836	パヴォーネの私室	N					
0511	unmatched-ns	no-pc-pair			4		Script/scr0511.binu8	20861	20865	礼讃祈堂地下	N					
0511	unmatched-ns	no-pc-pair			5		Script/scr0511.binu8	20884	20888	食堂	N					
0511	unmatched-ns	no-pc-pair			6		Script/scr0511.binu8	20895	20899	中庭	N					
0511	unmatched-ns	no-pc-pair			7		Script/scr0511.binu8	20906	20910	座学室	N					
0511	unmatched-ns	no-pc-pair			8		Script/scr0511.binu8	20920	20924	造化室	N					
0511	unmatched-ns	no-pc-pair			9		Script/scr0511.binu8	20934	20938	機械室	N					
0511	unmatched-ns	no-pc-pair			10		Script/scr0511.binu8	20948	20952	服飾室	N					
0511	unmatched-ns	no-pc-pair			11		Script/scr0511.binu8	20962	20966	図書館	N					
0511	unmatched-ns	no-pc-pair			12		Script/scr0511.binu8	20976	20980	時計塔	N					
0511	unmatched-ns	no-pc-pair			13		Script/scr0511.binu8	20990	20994	南の森	N					
0511	unmatched-ns	no-pc-pair			14		Script/scr0511.binu8	21004	21008	北の森	N					
0511	unmatched-ns	no-pc-pair			15		Script/scr0511.binu8	21018	21022	場所01	N					
0511	unmatched-ns	no-pc-pair			16		Script/scr0511.binu8	21031	21035	場所02	N					
0511	unmatched-ns	no-pc-pair			17		Script/scr0511.binu8	21044	21048	場所03	N					
0511	unmatched-ns	no-pc-pair			18		Script/scr0511.binu8	21057	21061	場所04	N					
0511	unmatched-ns	no-pc-pair			19		Script/scr0511.binu8	21070	21074	場所05	N					
0511	unmatched-ns	no-pc-pair			20		Script/scr0511.binu8	21083	21087	場所06	N					
0511	unmatched-ns	no-pc-pair			21		Script/scr0511.binu8	21096	21100	場所07	N					
0511	unmatched-ns	no-pc-pair			22		Script/scr0511.binu8	21109	21113	場所08	N					
0511	unmatched-ns	no-pc-pair			23		Script/scr0511.binu8	21122	21126	場所09	N					
0511	unmatched-ns	no-pc-pair			24		Script/scr0511.binu8	21135	21139	場所10	N					
0511	unmatched-ns	no-pc-pair			25		Script/scr0511.binu8	21148	21152	場所11	N					
0511	unmatched-ns	no-pc-pair			26		Script/scr0511.binu8	21161	21165	場所12	N					
0511	unmatched-ns	no-pc-pair			27		Script/scr0511.binu8	21174	21178	場所13	N					
0511	unmatched-ns	no-pc-pair			28		Script/scr0511.binu8	21187	21191	場所14	N					
0511	unmatched-ns	no-pc-pair			29		Script/scr0511.binu8	21200	21204	場所15	N					
0512	unmatched-ns	no-pc-pair			0		Script/scr0512.binu8	20845	20849	校門	N					
0512	unmatched-ns	no-pc-pair			1		Script/scr0512.binu8	20856	20860	礼讃祈堂	N					
0512	unmatched-ns	no-pc-pair			2		Script/scr0512.binu8	20873	20877	マコーの私室	N					
0512	unmatched-ns	no-pc-pair			3		Script/scr0512.binu8	20896	20900	パヴォーネの私室	N					
0512	unmatched-ns	no-pc-pair			4		Script/scr0512.binu8	20925	20929	礼讃祈堂地下	N					
0512	unmatched-ns	no-pc-pair			5		Script/scr0512.binu8	20948	20952	食堂	N					
0512	unmatched-ns	no-pc-pair			6		Script/scr0512.binu8	20959	20963	中庭	N					
0512	unmatched-ns	no-pc-pair			7		Script/scr0512.binu8	20970	20974	座学室	N					
0512	unmatched-ns	no-pc-pair			8		Script/scr0512.binu8	20984	20988	造化室	N					
0512	unmatched-ns	no-pc-pair			9		Script/scr0512.binu8	20998	21002	機械室	N					
0512	unmatched-ns	no-pc-pair			10		Script/scr0512.binu8	21012	21016	服飾室	N					
0512	unmatched-ns	no-pc-pair			11		Script/scr0512.binu8	21026	21030	図書館	N					
0512	unmatched-ns	no-pc-pair			12		Script/scr0512.binu8	21040	21044	時計塔	N					
0512	unmatched-ns	no-pc-pair			13		Script/scr0512.binu8	21054	21058	南の森	N					
0512	unmatched-ns	no-pc-pair			14		Script/scr0512.binu8	21068	21072	北の森	N					
0512	unmatched-ns	no-pc-pair			15		Script/scr0512.binu8	21082	21086	場所01	N					
0512	unmatched-ns	no-pc-pair			16		Script/scr0512.binu8	21095	21099	場所02	N					
0512	unmatched-ns	no-pc-pair			17		Script/scr0512.binu8	21108	21112	場所03	N					
0512	unmatched-ns	no-pc-pair			18		Script/scr0512.binu8	21121	21125	場所04	N					
0512	unmatched-ns	no-pc-pair			19		Script/scr0512.binu8	21134	21138	場所05	N					
0512	unmatched-ns	no-pc-pair			20		Script/scr0512.binu8	21147	21151	場所06	N					
0512	unmatched-ns	no-pc-pair			21		Script/scr0512.binu8	21160	21164	場所07	N					
0512	unmatched-ns	no-pc-pair			22		Script/scr0512.binu8	21173	21177	場所08	N					
0512	unmatched-ns	no-pc-pair			23		Script/scr0512.binu8	21186	21190	場所09	N					
0512	unmatched-ns	no-pc-pair			24		Script/scr0512.binu8	21199	21203	場所10	N					
0512	unmatched-ns	no-pc-pair			25		Script/scr0512.binu8	21212	21216	場所11	N					
0512	unmatched-ns	no-pc-pair			26		Script/scr0512.binu8	21225	21229	場所12	N					
0512	unmatched-ns	no-pc-pair			27		Script/scr0512.binu8	21238	21242	場所13	N					
0512	unmatched-ns	no-pc-pair			28		Script/scr0512.binu8	21251	21255	場所14	N					
0512	unmatched-ns	no-pc-pair			29		Script/scr0512.binu8	21264	21268	場所15	N					
0513	unmatched-ns	no-pc-pair			0		Script/scr0513.binu8	21149	21153	校門	N					
0513	unmatched-ns	no-pc-pair			1		Script/scr0513.binu8	21160	21164	礼讃祈堂	N					
0513	unmatched-ns	no-pc-pair			2		Script/scr0513.binu8	21177	21181	マコーの私室	N					
0513	unmatched-ns	no-pc-pair			3		Script/scr0513.binu8	21200	21204	パヴォーネの私室	N					
0513	unmatched-ns	no-pc-pair			4		Script/scr0513.binu8	21229	21233	礼讃祈堂地下	N					
0513	unmatched-ns	no-pc-pair			5		Script/scr0513.binu8	21252	21256	食堂	N					
0513	unmatched-ns	no-pc-pair			6		Script/scr0513.binu8	21263	21267	中庭	N					
0513	unmatched-ns	no-pc-pair			7		Script/scr0513.binu8	21274	21278	座学室	N					
