scene	status	reason	pair_cost	ns_filtered_index	pc_filtered_index	ns_file	ns_length_offset	ns_text_offset	ns_source	ns_kind	pc_file	pc_string_index	pc_translation	pc_kind
1020	high-candidate	type+length+bidirectional-continuity	0.1233	0	0	Script/scr1020.binu8	84973	84977	あえかな朝の光が、ようやく庭園の薔薇たちに届いた。	N	1020.gsc	0	朦胧的晨曦终于照亮了庭院中的蔷薇。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0212	1	1	Script/scr1020.binu8	85053	85057	花弁は朝露をまとって絹のような光沢を帯び、ほとんど完璧な@r均衡@きんこう@で開いている。その周辺を、艶やかな深緑の@r鋸葉@のこば@が飾る。	N	1020.gsc	1	花瓣身披朝露，闪烁着如丝绸般的光泽，盛放的姿态近乎完美的对称。艳丽的深绿锯叶装饰着周围。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0392	2	2	Script/scr1020.binu8	85255	85259	ひとつひとつの花は華やかだが、どこか@r黙祷@もくとう@めいた@r厳粛@げんしゅく@さが漂うのは、あまりに整然と並んだ光景が葬列を想起させるからだろうか。	N	1020.gsc	2	一朵朵鲜花虽皆华艳，但总感觉有股默哀般的肃穆感，是因为它们整然并列的光景让人联想到送葬的行列吗。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0430	3	3	Script/scr1020.binu8	85475	85479	それとも、そよとも吹かない風のせいで、葉擦れの音すらも届かないからだろうか。	N	1020.gsc	3	亦或者，是不曾拂过的微风作祟，让落叶飘零声都无法传达吗。	N
1020	high-candidate	type+length+bidirectional-continuity	0.1990	4	4	Script/scr1020.binu8	85594	85598	@r喩@たと@えようもない濃密な香気だけが、言葉のかわりのように、早朝の澄みきった大気を染めかえている。	N	1020.gsc	4	只有难以言喻的浓密香气，替代了言语，浸染了清晨纯澈的空气。	N
1020	high-candidate	type+length+bidirectional-continuity	0.1424	5	5	Script/scr1020.binu8	85772	85776	@vv20101「…………」	D	1020.gsc	6	「…………」	D
1020	high-candidate	type+length+bidirectional-continuity	0.2179	6	6	Script/scr1020.binu8	85803	85807	重厚な色彩の中に、不意に蜂蜜色の輝きが現れた。	N	1020.gsc	7	在厚重的色彩中，忽然出现了一抹蜂蜜色的光辉。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0505	7	7	Script/scr1020.binu8	85877	85881	緩い@r螺旋@らせん@を描く、豊かな髪だ。それはまだ淡い朝の光を昂然と弾きながら、少女の優雅な所作にあわせて複雑にうねり、肢体を飾ってまとわりつく。	N	1020.gsc	8	那是一头蓬松浓密的螺旋长发。淡淡晨光跃然其上，随少女傲然而又优雅的举止繁复地波动，缠饰着她的身躯。	N
1020	high-candidate	type+length+bidirectional-continuity	0.1005	8	8	Script/scr1020.binu8	86096	86100	少女は、薔薇の葬列を見渡しながら、数段に渡って@r設@しつら@えられた花壇の頂点を目指して歩を進めている。	N	1020.gsc	9	少女一边环视着蔷薇的葬列，一边朝着设置在数层之上的花坛顶点迈步。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0253	9	9	Script/scr1020.binu8	86252	86256	その華麗な姿は、未だ薄暗い庭園に、光を灯してまわっているようにも見えた。	N	1020.gsc	10	那华丽的身姿鲜明耀眼，仍有些昏暗的庭院都似乎被其照亮。	N
